Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
post-cycle-therapy,Post Cycle Therapy,"<h3>Post Cycle Therapy (Max Labs)</h3><h4>Rebalance, Recover, and Revitalize</h4><p>You've invested time, dedication, and intense effort into your training cycle. Now, as you transition off-cycle, the critical step is protecting your progress and restoring your body's natural balance. Max Labs Post Cycle Therapy (PCT) is expertly crafted to help you smoothly navigate post-cycle recovery.</p><h3>Why Post Cycle Therapy Matters</h3><p>After a rigorous supplement cycle, your body's hormonal equilibrium can be significantly disrupted. Effective Post Cycle Therapy helps restore hormonal balance, safeguards muscle gains, and promotes overall well-being.</p><h3>Key Benefits</h3><ul><li>✅ Free Next Day Delivery (UK) / International Shipping</li><li>✅ Natural Post Cycle Therapy</li><li>✅ Restores Hormonal Imbalances</li><li>✅ Support Supplement</li><li>✅ Highest Rated Supplier</li></ul><h3>What's Inside</h3><ul><li><strong>Tribulus Terrestris (250 mg)</strong> - Natural testosterone-boosting properties</li><li><strong>Maca Root 4:1 (100 mg)</strong> - Enhances endurance, energy, and libido</li><li><strong>Fenugreek (100 mg)</strong> - Supports testosterone and metabolism</li><li><strong>Saw Palmetto (50 mg)</strong> - Prostate health and hormone balance</li></ul><p>Pharmaceutical grade. Manufactured in the UK. HPLC Tested.</p>",Max Labs,Supplement,"pct, testosterone, recovery, bestseller",TRUE,Size,60 Capsules (30 Day Supply),ML-PCT-60,100,shopify,100,continue,manual,38.99,49.99,TRUE,TRUE,,,Post Cycle Therapy,Post Cycle Therapy | Max Labs UK,Natural PCT supplement to restore hormonal balance after your cycle. Free Next Day UK Delivery. HPLC Tested.,active
post-cycle-therapy,,,,,,,,120 Capsules (60 Day Supply),ML-PCT-120,200,shopify,100,continue,manual,69.99,89.99,TRUE,TRUE,,,,,,
alpha-gpc,Alpha GPC,"<h3>Alpha GPC Supplements</h3><p>Increase your endurance performance and growth hormone production with Max Labs Alpha-GPC.</p><p>Athletes looking for more power use Alpha-GPC, one of the world's most popular nootropics. Most people use it for the mind and muscles, but some claim it can help you lose fat and live longer.</p><h3>Boost Your Power Output</h3><p>Alpha-GPC initially came onto the scene when studies showed a <strong>14% increase in power output</strong> assessed by bench throws.</p><h3>Key Benefits</h3><ul><li>✅ Increases growth hormones</li><li>✅ Increases power</li><li>✅ Improved strength</li><li>✅ Boosts fat loss</li><li>✅ Improved body composition</li><li>✅ Boosts energy</li><li>✅ Improves memory and mental focus</li></ul><h3>Burn Fat Fast</h3><p>A single dose of Alpha-GPC increases growth hormone secretion and fat-burning within an hour. Studies show that in 60 minutes, <strong>growth hormone levels had risen by 290%</strong>.</p><p>Pharmaceutical grade. Manufactured in the UK. HPLC Tested.</p>",Max Labs,Supplement,"nootropic, cognitive, focus, brain, growth-hormone",TRUE,Size,60 Capsules,ML-AGPC-60,100,shopify,100,continue,manual,39.99,49.99,TRUE,TRUE,,,Alpha GPC,Alpha GPC Supplements | Max Labs UK,Alpha GPC nootropic for increased power output and growth hormone. Free Next Day UK Delivery. HPLC Tested.,active
alpha-gpc,,,,,,,,120 Capsules,ML-AGPC-120,200,shopify,100,continue,manual,69.99,89.99,TRUE,TRUE,,,,,,
ashwagandha,Ashwagandha,"<h3>Ashwagandha Supplements</h3><p>Max Labs Ashwagandha increases energy levels, boosts muscle strength, relieves stress, and improves concentration.</p><p>In Ayurvedic medicine, ashwagandha is traditionally used for its adaptogenic properties to increase energy, improve overall health, and reduce inflammation.</p><h3>Improve Muscle Mass And Strength</h3><p>As an adaptogen, ashwagandha reduces stress and anxiety by adjusting your body's response to stress. Ashwagandha supplements are shown to promote muscle mass and benefit health.</p><h3>Naturally Boost Testosterone</h3><p>During an 8-week study, participants who took the herb had a <strong>14.7% higher testosterone level</strong> than those who took a placebo.</p><h3>Key Benefits</h3><ul><li>✅ Increases muscle strength</li><li>✅ Boosts testosterone and fertility in men</li><li>✅ Reduces stress and anxiety</li><li>✅ Relieves depression</li><li>✅ Reduces blood sugar levels</li><li>✅ Improves sleep</li></ul><p>Pharmaceutical grade. Manufactured in the UK. HPLC Tested.</p>",Max Labs,Supplement,"adaptogen, stress, testosterone, sleep, bestseller",TRUE,Size,60 Capsules (30 Day Supply),ML-ASH-60,100,shopify,100,continue,manual,39.99,49.99,TRUE,TRUE,,,Ashwagandha,Ashwagandha Supplements | Max Labs UK,Premium Ashwagandha for stress relief and testosterone boost. Free Next Day UK Delivery. HPLC Tested.,active
ashwagandha,,,,,,,,120 Capsules (60 Day Supply),ML-ASH-120,200,shopify,100,continue,manual,69.99,89.99,TRUE,TRUE,,,,,,
tongkat-ali,Tongkat Ali Supplements,"<h3>Tongkat Ali - Get Stronger, Have More Energy, Boost Your Libido</h3><p>Tongkat Ali has been used for centuries to boost testosterone, build muscle, improve your libido and increase energy. The best all-natural way to increase testosterone is right here!</p><h3>Key Benefits</h3><ul><li>✅ Increases the production of testosterone</li><li>✅ Improves sexual health & libido</li><li>✅ Boosts strength and muscle</li><li>✅ Burns fat</li><li>✅ Reduces stress and anger & improves mood</li></ul><h3>Athletic Performance</h3><p>Testosterone is an anabolic hormone. Max Labs Tongkat Ali will increase testosterone and help you build muscle. Tongkat Ali has been shown to increase lean body mass - men experienced a <strong>5% increase in lean body mass</strong> and a significant reduction in body fat.</p><h3>Traditional Use</h3><p>In Malaysia, Tongkat Ali means ""Ali's walking stick"". It is used traditionally to treat fatigue, loss of sexual desire, and impotence. The ingredients are 100% natural and plant-based.</p><p>Pharmaceutical grade. Manufactured in the UK. HPLC Tested.</p>",Max Labs,Supplement,"testosterone, energy, libido, male-health, bestseller",TRUE,Size,60 Capsules,ML-TA-60,100,shopify,100,continue,manual,39.99,49.99,TRUE,TRUE,,,Tongkat Ali Supplements,Tongkat Ali Supplements | Max Labs UK,Tongkat Ali testosterone booster for energy and libido. Free Next Day UK Delivery. HPLC Tested.,active
tongkat-ali,,,,,,,,120 Capsules,ML-TA-120,200,shopify,100,continue,manual,69.99,89.99,TRUE,TRUE,,,,,,
max-strength-turkesterone-1400mg,Max Strength Turkesterone 1400mg,"<h3>Max Strength Turkesterone Supplements (1400mg)</h3><p>Buy Turkesterone from Max Labs - the UK and Europe's #1 supplier, offering maximum strength for maximum results. Our Turkesterone is 1400mg — the highest dose available on the market.</p><h3>What is Turkesterone?</h3><p>Turkesterone supplements are a natural steroid found in plants and insects that helps improve muscle growth and strength. It has gained significant attention in the bodybuilding community for its ability to enhance performance and promote muscle gains.</p><h3>Key Benefits</h3><ul><li>✅ Increases muscle mass</li><li>✅ Strengthens your body</li><li>✅ Increases the ratio of muscle to fat</li><li>✅ Increased muscular endurance</li><li>✅ Improved recovery time</li><li>✅ Improves sleep, cholesterol, and glucose levels</li><li>✅ Benefits of steroids without cycling or PCT</li></ul><h3>Promotes Muscle Repair & Recovery</h3><p>Turkesterone has been shown to <strong>increase protein synthesis by up to 20%</strong>, aiding exercise recovery.</p><p>WADA does not consider Turkesterone a prohibited substance, making it a safe and legal option.</p><p>Pharmaceutical grade. Manufactured in the UK. HPLC Tested.</p>",Max Labs,Supplement,"muscle, strength, recovery, bestseller, testosterone",TRUE,Size,90 Capsules (700mg x 2 per day),ML-TURK-90,100,shopify,100,continue,manual,39.99,75.99,TRUE,TRUE,,,Max Strength Turkesterone 1400mg,Turkesterone 1400mg | Max Labs UK,Highest strength Turkesterone 1400mg for muscle growth. Free Next Day UK Delivery. HPLC Tested.,active
max-strength-turkesterone-1400mg,,,,,,,,180 Capsules (60 Day Supply),ML-TURK-180,200,shopify,100,continue,manual,69.99,139.99,TRUE,TRUE,,,,,,
on-cycle-support,On Cycle Support,"<h3>On Cycle Support (Max Labs)</h3><h4>Your Ultimate Bodyguard During Any Supplement Cycle</h4><p>When you're pushing your limits to build your ideal physique, your body's health must remain your top priority. MAX Labs On Cycle Support (OCS) is specifically formulated to protect and enhance your health during intense supplement cycles.</p><h3>Comprehensive Wellness Formula</h3><ul><li><strong>Glucosamine Sulphate (150 mg)</strong> - Supports joint health and flexibility</li><li><strong>Pomegranate Extract (140 mg)</strong> - Supports cardiovascular health</li><li><strong>Hawthorn Berry Extract (100 mg)</strong> - Heart-health benefits</li><li><strong>Turmeric Root Extract (100 mg)</strong> - Anti-inflammatory properties</li><li><strong>Celery Seed Extract (30 mg)</strong> - Kidney health and blood pressure</li><li><strong>Grape Seed Extract (25 mg)</strong> - Powerful antioxidant</li><li><strong>NAC (10 mg)</strong> - Liver detoxification</li></ul><h3>Key Benefits</h3><ul><li>✅ Free Next Day Delivery (UK) / International Shipping</li><li>✅ Natural On Cycle Support</li><li>✅ Maintain Liver Health</li><li>✅ Support Supplement</li><li>✅ Highest Rated Supplier</li></ul><p>Pharmaceutical grade. Manufactured in the UK. HPLC Tested.</p>",Max Labs,Supplement,"liver, heart, organ-support, cycle",TRUE,Size,60 Capsules (30 Day Supply),ML-OCS-60,100,shopify,100,continue,manual,38.99,49.99,TRUE,TRUE,,,On Cycle Support,On Cycle Support | Max Labs UK,On Cycle Support for liver and organ health during your cycle. Free Next Day UK Delivery. HPLC Tested.,active
on-cycle-support,,,,,,,,120 Capsules (60 Day Supply),ML-OCS-120,200,shopify,100,continue,manual,69.99,89.99,TRUE,TRUE,,,,,,
